MatchId;HomeTeam;HomeTeamId;VisitTeam;VisitTeamId;MapName;ScheduleDate;StatsId;Map;Rounds;Duration;DamageRED;FragsRED;DamageBLU;FragsBLU;ScoreRED;ScoreBLU;ScoresBLU;RoundTimes
39112;Commanders eSports;7858;Don Pandilla Y Su Gato;9852;pl_upward;2014-02-10 00:00:00;152478;pl_upward;2;1427;41813;127;47996;166;0;8;4|4;795|632
39114;worst gaming;9179;Road for West;8959;pl_upward;2014-02-10 00:00:00;152543;pl_upward;2;817;23613;63;26173;102;0;4;4|0;409|408
39114;worst gaming;9179;Road for West;8959;pl_upward;2014-02-10 00:00:00;152520;pl_upward;2;1082;33091;126;31445;87;0;4;2|2;880|202
39116;illusion of Murder;9726;show No mercy;8292;pl_upward;2014-02-10 00:00:00;152649;pl_upward;2;764;20982;53;25265;91;0;5;4|1;382|382
39116;illusion of Murder;9726;show No mercy;8292;pl_upward;2014-02-10 00:00:00;152612;pl_upward;2;1384;42795;129;39203;143;0;8;4|4;635|749
39135;Dunning-Kruger Effect;5984;Gentlemen's Club;9293;pl_upward;2014-02-10 00:00:00;152692;pl_upward;1;418;10581;23;12005;40;0;4;4;418
39136;The Electric Temptations;5527;SYOPS TF2;3526;pl_upward;2014-02-10 00:00:00;151929;cp_process_final;2;1794;56275;187;56212;176;1;0;0|0;1064|730
39137;MURDERFORCE9000;3362;MenaceToSociety;3628;pl_upward;2014-02-10 00:00:00;152691;pl_upward;1;538;17234;46;18038;58;0;4;4;538
39138;Dead Ringer Storage;8004;Stag Party;6529;pl_upward;2014-02-10 00:00:00;152751;pl_upward;2;825;27368;90;22828;67;0;8;4|4;471|354
39140;Apocalypse Gaming Highlander;10182;Cuties;5064;pl_upward;2014-02-10 00:00:00;157029;koth_coalplant_b7;2;776;24271;70;19455;54;2;0;0|0;385|391
39140;Apocalypse Gaming Highlander;10182;Cuties;5064;pl_upward;2014-02-10 00:00:00;156970;koth_coalplant_b7;3;1085;34652;93;38453;106;1;2;1|1|0;306|408|371
39142;Roll the Chat;3924;Universal $ Assocation;9134;pl_upward;2014-02-10 00:00:00;152753;pl_upward;2;873;27996;107;26418;90;0;8;4|4;515|358
39143;Murphy and ya bois;8901;The Barkin' Sharks;6572;pl_upward;2014-02-10 00:00:00;152651;pl_upward;2;878;24000;62;27395;97;0;6;4|2;439|439
39144;Poon Platoon;8848;SPACEBEARS;9091;pl_upward;2014-02-10 00:00:00;152674;pl_upward;2;865;23211;59;29509;103;0;5;4|1;433|432
39145;Kids Next Door;5639;Just Kidding;5576;pl_upward;2014-02-10 00:00:00;156316;koth_coalplant_b7;4;1199;36588;105;47090;172;1;3;0|1|1|1;323|291|339|246
39145;Kids Next Door;5639;Just Kidding;5576;pl_upward;2014-02-10 00:00:00;152678;pl_upward;1;491;13155;35;13558;47;0;4;4;491
39152;Downfallen;9299;Aus New Zealand Ass Kickers!;5009;pl_upward;2014-02-10 00:00:00;152302;pl_upward;2;1137;35538;108;37056;124;0;7;4|3;549|588
39152;Downfallen;9299;Aus New Zealand Ass Kickers!;5009;pl_upward;2014-02-10 00:00:00;152292;pl_upward;2;1268;41525;123;35381;103;0;8;4|4;807|461
39158;Beer and Skittles;8448;WulfPack;8323;pl_upward;2014-02-10 00:00:00;155966;koth_coalplant_b7;3;980;17512;79;15244;63;1;2;1|0|1;329|238|413
39158;Beer and Skittles;8448;WulfPack;8323;pl_upward;2014-02-10 00:00:00;155962;koth_coalplant_b7;4;1585;55986;214;46690;158;3;1;0|1|0|0;313|435|432|405
