MatchId;HomeTeam;HomeTeamId;VisitTeam;VisitTeamId;MapName;ScheduleDate;StatsId;Map;Rounds;Duration;DamageRED;FragsRED;DamageBLU;FragsBLU;ScoreRED;ScoreBLU;ScoresBLU;RoundTimes
39863;roblox dragon ;6304;Magical Dragons of Dustbowl;8572;koth_coalplant_b7;2014-02-17 00:00:00;157177;koth_coalplant_b7;3;967;32237;94;37693;149;0;3;1|1|1;281|267|419
39864;ABAP Crew;9429;Das Reisig;8883;koth_coalplant_b7;2014-02-17 00:00:00;156378;koth_coalplant_b7;3;1138;17966;60;20993;86;1;2;1|1|0;600|320|218
39864;ABAP Crew;9429;Das Reisig;8883;koth_coalplant_b7;2014-02-17 00:00:00;156312;koth_coalplant_b7;3;1125;31877;106;39455;154;0;3;1|1|1;398|347|380
39867;The Demonstration Men;7979;Blame Joe;9831;koth_coalplant_b7;2014-02-17 00:00:00;157217;koth_coalplant_b7;1;416;13870;49;13591;42;1;0;0;416
39867;The Demonstration Men;7979;Blame Joe;9831;koth_coalplant_b7;2014-02-17 00:00:00;157128;koth_coalplant_b7;4;1414;51994;172;43219;146;3;1;0|0|1|0;311|267|458|378
39868;SeeThrough;9126;Cancerous Hat Collectors United;6428;koth_coalplant_b7;2014-02-17 00:00:00;157174;koth_coalplant_b6;2;834;31616;111;28543;113;1;1;0|1;424|410
39868;SeeThrough;9126;Cancerous Hat Collectors United;6428;koth_coalplant_b7;2014-02-17 00:00:00;157118;koth_coalplant_b6;2;749;27550;100;25242;87;1;1;0|1;390|359
39868;SeeThrough;9126;Cancerous Hat Collectors United;6428;koth_coalplant_b7;2014-02-17 00:00:00;157067;koth_coalplant_b6;2;641;24623;79;24400;85;0;2;1|1;367|274
39869;fk.coms;8567;Big Beautiful Heavies ;8837;koth_coalplant_b7;2014-02-17 00:00:00;157203;koth_coalplant_b7;2;585;15927;49;14945;61;0;2;1|1;325|260
39869;fk.coms;8567;Big Beautiful Heavies ;8837;koth_coalplant_b7;2014-02-17 00:00:00;157070;koth_coalplant_b7;4;1344;41795;165;39435;121;3;1;1|0|0|0;459|404|261|220
39871;The Weilanders;8873;Thorns For Dead;9140;koth_coalplant_b7;2014-02-17 00:00:00;156257;koth_coalplant_b7;3;817;11238;44;10623;46;1;2;1|0|1;226|218|373
39871;The Weilanders;8873;Thorns For Dead;9140;koth_coalplant_b7;2014-02-17 00:00:00;156240;koth_coalplant_b7;3;710;14638;46;26402;107;0;3;1|1|1;221|240|249
39872;The Nebular;9187;Vault Force 4;6176;koth_coalplant_b7;2014-02-17 00:00:00;157154;koth_coalplant_b7;2;494;8224;29;12495;45;0;2;1|1;256|238
