MatchId;HomeTeam;HomeTeamId;VisitTeam;VisitTeamId;MapName;ScheduleDate;StatsId;Map;Rounds;Duration;DamageRED;FragsRED;DamageBLU;FragsBLU;ScoreRED;ScoreBLU;ScoresBLU;RoundTimes
38562;Gentlemen's Club;9293;MURDERFORCE9000;3362;cp_gravelpit;2014-02-03 00:00:00;148186;cp_gravelpit;2;667;11662;37;15723;59;0;5;3|2;334|333
38562;Gentlemen's Club;9293;MURDERFORCE9000;3362;cp_gravelpit;2014-02-03 00:00:00;148129;cp_gravelpit;2;640;13864;56;14649;53;0;6;3|3;359|281
38563;Stag Party;6529;Dunning-Kruger Effect;5984;cp_gravelpit;2014-02-03 00:00:00;151819;pl_badwater;2;787;22467;65;25217;83;0;6;4|2;394|393
38564;The Electric Temptations;5527;Dead Ringer Storage;8004;cp_gravelpit;2014-02-03 00:00:00;152190;pl_upward;2;1273;40923;119;40746;119;0;8;4|4;704|569
38564;The Electric Temptations;5527;Dead Ringer Storage;8004;cp_gravelpit;2014-02-03 00:00:00;152156;koth_lakeside_final;3;884;36774;133;29642;82;3;0;0|0|0;227|430|227
38564;The Electric Temptations;5527;Dead Ringer Storage;8004;cp_gravelpit;2014-02-03 00:00:00;152118;cp_steel;2;983;31771;97;30593;105;0;10;5|5;499|484
38564;The Electric Temptations;5527;Dead Ringer Storage;8004;cp_gravelpit;2014-02-03 00:00:00;151272;pl_upward;2;1194;40006;119;39400;124;0;7;4|3;597|597
38564;The Electric Temptations;5527;Dead Ringer Storage;8004;cp_gravelpit;2014-02-03 00:00:00;148195;cp_gravelpit;2;1055;28305;105;26410;77;0;6;3|3;603|452
38564;The Electric Temptations;5527;Dead Ringer Storage;8004;cp_gravelpit;2014-02-03 00:00:00;148134;cp_gravelpit;2;680;15089;42;17272;66;0;4;3|1;340|340
38565;MenaceToSociety;3628;Blunderful;3357;cp_gravelpit;2014-02-03 00:00:00;148161;cp_gravelpit;2;786;17870;69;16550;53;0;6;3|3;540|246
38565;MenaceToSociety;3628;Blunderful;3357;cp_gravelpit;2014-02-03 00:00:00;148109;cp_gravelpit;2;500;9051;32;8976;38;0;4;3|1;250|250
38571;Road for West;8959;Don Pandilla Y Su Gato;9852;cp_gravelpit;2014-02-03 00:00:00;148584;cp_gravelpit;2;1554;26167;104;25807;98;0;5;3|2;605|949
38571;Road for West;8959;Don Pandilla Y Su Gato;9852;cp_gravelpit;2014-02-03 00:00:00;148581;cp_gravelpit;2;639;10611;41;12244;45;0;6;3|3;380|259
38573;0wins;6560;illusion of Murder;9726;cp_gravelpit;2014-02-03 00:00:00;147878;cp_gravelpit;2;760;16656;70;14541;61;0;6;3|3;420|340
38573;0wins;6560;illusion of Murder;9726;cp_gravelpit;2014-02-03 00:00:00;147871;cp_gravelpit;2;720;12464;45;14098;63;0;4;3|1;338|382
38575;show No mercy;8292;Snappers&Jellybeans;9251;cp_gravelpit;2014-02-03 00:00:00;147434;cp_gravelpit;2;938;17672;66;18851;82;0;5;3|2;470|468
38575;show No mercy;8292;Snappers&Jellybeans;9251;cp_gravelpit;2014-02-03 00:00:00;147419;cp_gravelpit;2;838;17444;64;16861;64;0;6;3|3;491|347
38576;Black Label Society;9428;Smoke Weed Everyday;8512;cp_gravelpit;2014-02-03 00:00:00;147370;cp_gravelpit;2;740;5749;21;6433;24;0;3;3|0;320|420
38577;Ultimate Dog Fighter;9653;kill4win;8158;cp_gravelpit;2014-02-03 00:00:00;148125;cp_gravelpit;2;1292;31342;118;35377;134;0;6;3|3;688|604
38577;Ultimate Dog Fighter;9653;kill4win;8158;cp_gravelpit;2014-02-03 00:00:00;148076;cp_gravelpit;2;473;9599;32;9714;41;0;4;3|1;237|236
38577;Ultimate Dog Fighter;9653;kill4win;8158;cp_gravelpit;2014-02-03 00:00:00;148006;cp_gravelpit;2;1957;27977;104;28701;108;0;4;3|1;1058|899
38586;Medic Picks;9853;Spicy Wizards;8998;cp_gravelpit;2014-02-03 00:00:00;147679;cp_gravelpit;6;2532;29254;93;32976;137;0;11;3|2|3|3|0|0;256|256|578|602|420|420
38595;Simply Beige;10275;Strike Force Ownage;9813;cp_gravelpit;2014-02-03 00:00:00;147698;cp_gravelpit;2;413;9617;46;5317;11;0;3;3|0;207|206
